feature	coefficient
CONSULT0	-0.036983265449259284
CONSULT1	0.03698310316741571
NUMGIV	0.03440358778806353
TOTDIAG	0.03204584974222466
PTTINR0	-0.028791567085654158
PTTINR1	0.028791314037751523
CBC0	-0.02499526610016623
CBC1	0.024995150192102644
BLOODCX1	0.02461938305652126
BLOODCX0	-0.024619322027631507
TOTCHRON	0.024517701605981903
NUMMED	0.02221196208352408
AGE	0.021432527462529476
CARDMON0	-0.021368567004424698
CARDMON1	0.021368498688695267
TOTPROC	0.02069039234465934
ARREMS2	-0.02003875119511561
OTHERBLD0	-0.01979278410751309
OTHERBLD1	0.01979252412863596
AMBTRANSFER-7	-0.019364873756649893
PAYMCARE0	-0.01933822742710739
PAYMCARE1	0.019337992954359427
PAYTYPER2	0.0193377611648017
ARREMS1	0.01927433594356497
NOCHRON1	-0.018527026313707815
PROC0	-0.0179123047795974
NOCHRON0	0.017903702016915896
PROC1	0.017851761866507852
DIAG1R154090	0.017070363505192646
DIAG1R103890	0.016326994052091717
CAD1	0.01609189129453197
CAD0	-0.0160918324351066
NUMDIS	-0.015816113285930807
AMBTRANSFER2	0.01564649858915407
CARDENZ0	-0.01562179180006715
CARDENZ1	0.015621781234739758
PRDIAG30	0.01555678546788625
PRDIAG3-7	-0.015469570514596517
BMP1	0.015344639959836549
BMP0	-0.015344604116748308
ANYIMAGE1	0.015004772927026752
ANYIMAGE0	-0.01500468381992607
XRAY0	-0.014953876240809046
XRAY1	0.014953866818043251
AMBTRANSFER1	0.014508396832744162
BUNCREAT1	0.014468246856422248
BUNCREAT0	-0.014468202960579185
CHF0	-0.014272562054835267
CHF1	0.014272391442809946
CKD0	-0.014046207645758963
CKD1	0.014046036261429874
OTHPROV0	-0.013159180050576043
OTHPROV1	0.01315905890305273
CMP0	-0.013117632700981156
CMP1	0.01311748315150883
DIAGSCRN1	0.013019305375697333
RETRNED0	0.013017252286948302
RETRNED1	-0.013017229998767279
DIAGSCRN0	-0.012976743967108318
ZONENURS2	-0.012962156426857132
RESINT0	-0.012430870172557104
RESINT1	0.012430828415287332
DIAG2R199591	0.012411641062029254
BNP1	0.012353394571388773
BNP0	-0.012353309659725033
LFT0	-0.012196153186384817
LFT1	0.012195912124810944
CEBVD0	-0.011983815406988618
CEBVD1	0.011983740682142887
RFV117903	0.011930636053885812
ABG1	0.011869304063253617
ABG0	-0.011869112949405552
RFV114150	0.011816062793917233
RFV13D1415	0.011815986107372738
MED12805	0.011783116508709614
BPAP0	-0.011684541714715547
BPAP1	0.011684538871932704
MED128495	0.011544083973706655
CANCER0	-0.011399013624640675
CANCER1	0.011399004782891275
DIAG1R157890	0.011360018123560835
BLADCATH1	0.01088334194529203
BLADCATH0	-0.01088330854502417
DIAG1R157700	0.010775531970027967
OBESITY0	-0.010581776412094629
OBESITY1	0.010581662843783028
CTCONTRAST1	0.010436879063069428
OTHCX0	-0.010303045802470562
OTHCX1	0.010302977460342803
ATTPHYS1	0.009967143731624344
ATTPHYS0	-0.009967133647614443
DIABTYP20	-0.009818439922797373
DIABTYP21	0.009818298468163717
RFV125250	0.009806641596333184
RFV13D2525	0.009806585730275619
DIAG1R148600	0.009751798722632116
RESIDNCE2	0.009666686890664834
OBSSTAY	-0.009629159191556588
BOARD2	-0.009551674648352647
DIAG1R142731	0.009454502249067803
OSA0	-0.009246662526066329
OSA1	0.009246526247517501
DIAG2R151881	0.009186816182186969
COPD0	-0.00917204201946708
COPD1	0.009171904431638508
DIAG2R179902	0.009112764163749827
CATSCAN1	0.009046651148074857
CATSCAN0	-0.009046648006868366
BOARD1	0.009046617095560974
ZONENURS1	0.00898879695174718
MRI0	-0.008890199184827122
MRI1	0.00889013649473913
PREGTEST0	0.008852418765426893
PREGTEST1	-0.008852415214531595
DIAG1R158490	0.00878973214702846
